timeindex,hydro_SN,offshore_SN,onshore_SN,pv_SN,chp_SN,acaes_SN,hydrogen_SN,li-ion_SN,redox_SN,phs_SN,electricity_SN,excess_SN
2050-01-01 00:00:00+00:00,2.289194,1556.324,7772.4,0.0,-0.0,0.0,-397.06041,0.0,0.0,120.0,1834.3100421335496,5985.4721
2050-01-01 01:00:00+00:00,2.2947357,1545.566,7951.5,0.0,-0.0,0.0,-397.06041,0.0,0.0,19.807621,1772.4772106823282,5849.7192
2050-01-01 02:00:00+00:00,2.3002773,1506.6579,7834.5,0.0,-0.0,0.0,-397.06041,0.0,0.0,120.0,1696.7972005838592,5842.8475
2050-01-01 03:00:00+00:00,2.305819,1491.776,7713.9,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1630.2847144188906,5813.7306
2050-01-01 04:00:00+00:00,2.3113606,1470.26,7686.0,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1591.044649782392,5548.567
2050-01-01 05:00:00+00:00,2.3169023,1461.295,7704.0,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1531.3598584487686,5340.2217
2050-01-01 06:00:00+00:00,2.3224439,1450.8956,7791.3,0.0,162.48331,0.0,-397.06041,0.0,0.0,0.0,1421.311227412105,5689.6598
2050-01-01 07:00:00+00:00,2.3279856,1416.2907,7812.9,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1422.1167411472431,5513.3716
2050-01-01 08:00:00+00:00,2.3335272,1382.0444,7700.4,312.206,-0.0,0.0,-397.06041,0.0,0.0,0.0,1445.8602418693067,5655.0934
2050-01-01 09:00:00+00:00,2.3390689,1346.1844,7488.0,1231.948,-0.0,0.0,-397.06041,0.0,0.0,0.0,1535.3107150212004,6237.1304
2050-01-01 10:00:00+00:00,2.3446105,1319.8273,7257.6,2067.31,-0.0,0.0,-397.06041,0.0,0.0,0.0,1640.0659631029723,6710.9856
2050-01-01 11:00:00+00:00,2.3501521,1303.1524,7049.7,2354.202,-0.0,0.0,-397.06041,0.0,0.0,0.0,1755.2545424163193,6658.1197
2050-01-01 12:00:00+00:00,2.3556938,1278.409,6853.5,2033.558,-0.0,0.0,-397.06041,0.0,0.0,0.0,1798.8673993912741,6072.925
2050-01-01 13:00:00+00:00,2.3612354,1270.8784,6671.7,1274.138,-0.0,0.0,-397.06041,0.0,0.0,0.0,1775.0855443628627,5147.9618
2050-01-01 14:00:00+00:00,2.3667771,1246.4936,6528.6,270.016,-0.0,0.0,-397.06041,0.0,0.0,0.0,1755.8299093699895,3995.6161
2050-01-01 15:00:00+00:00,2.3723187,1216.0126,6197.4,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1752.2626307666715,3367.492
2050-01-01 16:00:00+00:00,2.3778604,1158.0987,5529.6,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1813.1748716014579,2580.8714
2050-01-01 17:00:00+00:00,2.383402,1122.418,5428.8,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1971.477660020475,2286.0934
2050-01-01 18:00:00+00:00,2.3889437,1087.6338,5350.5,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,2000.9364759728917,2143.5559
2050-01-01 19:00:00+00:00,2.3944853,1062.3525,5153.4,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1969.4063354966993,1952.7103
2050-01-01 20:00:00+00:00,2.400027,1040.6572,4897.8,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1900.0937266666394,1744.7332
2050-01-01 21:00:00+00:00,2.4055686,1033.1266,4829.4,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1874.662482880477,1694.2394
2050-01-01 22:00:00+00:00,2.4111103,1019.1412,4600.8,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1897.3703230859342,1601.6246
2050-01-01 23:00:00+00:00,2.4166519,1002.1077,4254.3,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1801.6675220563652,1777.8365
2050-01-02 00:00:00+00:00,2.4221936,1002.8249,4092.3,0.0,-0.0,0.0,-397.06041,0.0,0.0,0.0,1685.7885023986141,1806.2771
2050-01-02 01:00:00+00:00,2.4302365,1003.1835,3996.9,0.0,-0.0,-357.14286,-397.06041,-752.84659,0.0,0.0,1599.8285922562156,663.03986
2050-01-02 02:00:00+00:00,2.4382793,1014.4794,3933.0,0.0,-0.0,-357.14286,-397.06041,-782.5,0.0,0.0,1553.0703924439679,618.80428
2050-01-02 03:00:00+00:00,2.4463222,1005.873,3892.5,0.0,-0.0,-357.14286,-397.06041,-782.5,-46.5,0.0,1523.2279950318746,472.57093
2050-01-02 04:00:00+00:00,2.4543651,987.943,3714.3,0.0,-0.0,-357.14286,-397.06041,-782.5,-45.27243,0.0,1511.567214299137,0.0
2050-01-02 05:00:00+00:00,2.462408,960.5101,3547.8,0.0,-0.0,-357.14286,-397.06041,-351.59871,-33.289885,0.0,1472.710727631752,0.0
2050-01-02 06:00:00+00:00,2.4704508,918.016,3499.2,0.0,-0.0,-145.09188,-397.06041,-580.42115,0.0,0.0,1398.1430971342747,0.0
2050-01-02 07:00:00+00:00,2.4784937,848.4476,3172.5,0.0,-0.0,0.0,-397.06041,-279.54092,0.0,0.0,1447.8548507992596,0.0
2050-01-02 08:00:00+00:00,2.4865366,777.9827,2826.0,185.636,-0.0,0.0,-397.06041,0.0,0.0,46.792295,1542.867207993861,0.0
2050-01-02 09:00:00+00:00,2.4945795,730.8268,2572.2,683.478,-0.0,0.0,-397.06041,-3.5365588,0.0,0.0,1689.4324965957546,0.0
2050-01-02 10:00:00+00:00,2.5026223,707.8764,2521.8,1147.568,-0.0,-280.9368,-397.06041,0.0,0.0,0.0,1802.779898166794,0.0
2050-01-02 11:00:00+00:00,2.5106652,727.4201,2598.3,1527.278,-0.0,0.0,-397.06041,-637.2906,0.0,0.0,1922.1878421215151,0.0
2050-01-02 12:00:00+00:00,2.5187081,747.5017,2664.9,1501.964,-0.0,-357.14286,-397.06041,-287.54361,-46.5,0.0,1929.6676195003533,0.0
2050-01-02 13:00:00+00:00,2.526751,768.3005,2869.2,928.18,-0.0,-357.14286,-397.06041,-62.504057,0.0,0.0,1852.5300131192532,0.0
2050-01-02 14:00:00+00:00,2.5347939,750.3705,3048.3,185.636,-0.0,0.0,-313.08995,0.0,0.0,26.195648,1800.977081711961,0.0
2050-01-02 15:00:00+00:00,2.5428367,731.9026,3193.2,0.0,-0.0,0.0,-291.57794,0.0,0.0,52.640651,1789.7382367452483,0.0
2050-01-02 16:00:00+00:00,2.5508796,701.6009,3100.5,0.0,-0.0,0.0,-42.334947,0.0,0.0,0.0,1863.3469223199415,0.0
2050-01-02 17:00:00+00:00,2.5589225,656.0587,2835.9,0.0,-0.0,0.0,397.06041,0.0,0.0,26.445003,2049.497495730536,0.0
2050-01-02 18:00:00+00:00,2.5669654,582.3664,2403.9,0.0,97.33764,0.0,397.06041,0.0,1.7316603e-14,53.139362,2086.9347439122016,0.0
2050-01-02 19:00:00+00:00,2.5750082,539.3344,2151.9,0.0,282.79888,0.0,397.06041,0.0,0.0,0.0,2039.4093846711633,0.0
2050-01-02 20:00:00+00:00,2.5830511,510.6464,1925.1,0.0,195.29073,154.38367,397.06041,0.0,0.0,53.471837,1945.662834774636,0.0
2050-01-02 21:00:00+00:00,2.591094,472.8141,1703.7,0.0,-0.0,0.0,397.06041,558.20946,0.0,0.0,1928.51688210245,0.0
2050-01-02 22:00:00+00:00,2.5991369,420.4585,1485.0,0.0,-0.0,0.0,397.06041,476.52342,0.0,120.0,1963.921167047814,0.0
2050-01-02 23:00:00+00:00,2.6071798,371.8682,1309.5,0.0,-0.0,357.14286,397.06041,196.07802,0.0,0.0,1888.893239496838,0.0
2050-01-03 00:00:00+00:00,2.6152226,327.9397,1143.0,0.0,-0.0,357.14286,397.06041,112.213,44.249852,120.0,1774.932109684654,0.0
2050-01-03 01:00:00+00:00,2.6244846,283.6526,981.9,0.0,-0.0,292.10847,397.06041,450.77118,0.0,44.617455,1696.7204849900363,0.0
2050-01-03 02:00:00+00:00,2.6337467,242.7722,870.3,0.0,-0.0,138.72788,397.06041,782.5,0.0,0.0,1653.6446371718403,0.0
2050-01-03 03:00:00+00:00,2.6430087,214.6221,762.3,0.0,-0.0,357.14286,397.06041,591.94794,46.5,120.0,1640.909834635022,0.0
2050-01-03 04:00:00+00:00,2.6522707,196.3335,671.4,0.0,87.656568,357.14286,397.06041,782.5,46.5,120.0,1682.643159561321,0.0
2050-01-03 05:00:00+00:00,2.6615327,181.9895,608.4,0.0,864.89586,0.0,397.06041,782.5,0.0,120.0,1776.2362782702028,0.0
2050-01-03 06:00:00+00:00,2.6707947,165.6732,542.7,0.0,1858.9812,122.20948,397.06041,0.0,0.0,120.0,1977.5381989135935,0.0
2050-01-03 07:00:00+00:00,2.6800567,155.2738,512.1,0.0,2105.5956,0.0,397.06041,145.3166,0.0,27.696856,2245.5443912159462,0.0
2050-01-03 08:00:00+00:00,2.6893187,152.0464,534.6,337.52,2065.7609,0.0,397.06041,0.0,0.0,0.0,2400.97034137605,0.0
2050-01-03 09:00:00+00:00,2.6985807,145.5916,557.1,885.99,1583.5228,0.0,397.06041,0.0,0.0,55.680866,2473.006353786815,0.0
2050-01-03 10:00:00+00:00,2.7078428,135.5508,585.9,1147.568,1373.1422,0.0,397.06041,0.0,0.0,27.984009,2537.7927390907735,0.0
2050-01-03 11:00:00+00:00,2.7171048,129.9925,654.3,1054.75,1386.3178,0.0,397.06041,0.0,0.0,0.0,2569.9749621144583,0.0
2050-01-03 12:00:00+00:00,2.7263668,128.3788,805.5,708.792,1475.7323,0.0,397.06041,0.0,0.0,56.255172,2579.8712841892743,0.0
2050-01-03 13:00:00+00:00,2.7356288,120.4896,952.2,345.958,1634.1426,0.0,397.06041,0.0,0.0,28.271162,2545.7328100325476,0.0
2050-01-03 14:00:00+00:00,2.7448908,102.7389,1090.8,50.628,1771.0925,0.0,397.06041,0.0,0.0,0.0,2505.9173784423783,0.0
2050-01-03 15:00:00+00:00,2.7541528,91.443,1180.8,0.0,1696.695,0.0,397.06041,0.0,0.0,56.829477,2483.056107049276,0.0
2050-01-03 16:00:00+00:00,2.7634148,94.8497,1204.2,0.0,1774.2335,0.0,397.06041,0.0,0.0,28.558315,2516.772645439978,0.0
2050-01-03 17:00:00+00:00,2.7726769,110.2695,1257.3,0.0,1862.79,0.0,397.06041,0.0,0.0,28.654033,2650.8716360834333,0.0
2050-01-03 18:00:00+00:00,2.7819389,138.7782,1355.4,0.0,1758.0518,0.0,397.06041,0.0,0.0,28.74975,2640.3615892580356,0.0
2050-01-03 19:00:00+00:00,2.7912009,173.921,1432.8,0.0,1596.2558,0.0,397.06041,0.0,0.0,28.845468,2574.501189131123,0.0
2050-01-03 20:00:00+00:00,2.8004629,214.0842,1535.4,0.0,1334.4152,0.0,397.06041,0.0,0.0,28.941186,2462.1127289923043,0.0
2050-01-03 21:00:00+00:00,2.8097249,242.9515,1554.3,0.0,1106.2511,0.0,397.06041,0.0,0.0,29.036903,2369.938852259705,0.0
2050-01-03 22:00:00+00:00,2.8189869,269.1293,1599.3,0.0,830.21476,0.0,397.06041,0.0,0.0,0.0,2336.4908184473825,0.0
2050-01-03 23:00:00+00:00,2.8282489,298.5345,1711.8,0.0,379.01811,0.0,397.06041,0.0,0.0,58.360959,2170.2096047802424,0.0
2050-01-04 00:00:00+00:00,2.8375109,337.8012,1856.7,0.0,185.90487,0.0,397.06041,0.0,0.0,29.324056,2063.306316580872,0.0
2050-01-04 01:00:00+00:00,2.849136,392.667,2029.5,0.0,-0.0,0.0,397.06041,0.0,0.0,29.444194,1975.9655257496654,0.0
2050-01-04 02:00:00+00:00,2.860761,452.5532,2155.5,0.0,-0.0,0.0,397.06041,0.0,0.0,29.564332,1920.7686001452325,0.0
