timeindex,acaes_SN,hydrogen_SN,li-ion_SN,phs_SN,redox_SN,tes_SN
2050-01-01 00:00:00+00:00,0.0,0.0,0.0,161.43594,0.0,26307.685
2050-01-01 01:00:00+00:00,0.0,0.0,0.0,138.56406,0.0,26721.895
2050-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,27136.106
2050-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,27550.316
2050-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,27964.527
2050-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,27499.291
2050-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,26987.92
2050-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,26476.549
2050-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,25965.178
2050-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,25453.807
2050-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,24942.436
2050-01-01 11:00:00+00:00,0.0,0.0,0.0,24.381738,0.0,24509.352
2050-01-01 12:00:00+00:00,0.0,0.0,0.0,52.492635,0.0,24263.518
2050-01-01 13:00:00+00:00,0.0,0.0,0.0,80.669661,0.0,24145.515
2050-01-01 14:00:00+00:00,0.0,0.0,0.0,108.91282,0.0,24019.912
2050-01-01 15:00:00+00:00,0.0,0.0,0.0,137.2221,0.0,23846.099
2050-01-01 16:00:00+00:00,0.0,0.0,0.0,165.59752,0.0,23355.382
2050-01-01 17:00:00+00:00,0.0,0.0,0.0,194.03906,0.0,22844.011
2050-01-01 18:00:00+00:00,0.0,0.0,0.0,222.54673,0.0,22332.64
2050-01-01 19:00:00+00:00,0.0,0.0,0.0,251.12054,0.0,21821.269
2050-01-01 20:00:00+00:00,0.0,0.0,0.0,279.76047,0.0,21444.461
2050-01-01 21:00:00+00:00,0.0,0.0,0.0,308.46653,0.0,21646.631
2050-01-01 22:00:00+00:00,0.0,0.0,0.0,337.23872,0.0,22060.842
2050-01-01 23:00:00+00:00,305.14299,0.0,720.54302,366.07704,0.0,22475.052
2050-01-02 00:00:00+00:00,610.28598,0.0,1471.0907,394.98149,28.677407,22889.263
2050-01-02 01:00:00+00:00,915.42897,0.0,2221.6383,423.98192,70.268271,23303.473
2050-01-02 02:00:00+00:00,1220.572,0.0,2972.1859,453.07832,111.85914,23717.684
2050-01-02 03:00:00+00:00,1525.715,0.0,3722.7336,482.27071,153.45,24131.895
2050-01-02 04:00:00+00:00,1625.282,0.0,4376.4369,511.55906,153.45,24546.105
2050-01-02 05:00:00+00:00,1921.3643,0.0,4376.4369,540.9434,153.45,24051.394
2050-01-02 06:00:00+00:00,2226.5073,0.0,5086.25,570.42371,153.45,23540.022
2050-01-02 07:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,23028.651
2050-01-02 08:00:00+00:00,2500.0,0.0,5053.001,588.76308,153.45,22517.28
2050-01-02 09:00:00+00:00,2500.0,0.0,4866.5721,479.96726,153.45,22005.909
2050-01-02 10:00:00+00:00,2500.0,0.0,4764.878,509.83148,153.45,21613.848
2050-01-02 11:00:00+00:00,2500.0,0.0,4871.4294,539.79167,153.45,21519.194
2050-01-02 12:00:00+00:00,2500.0,0.0,5054.863,569.84785,153.45,21519.194
2050-01-02 13:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,21519.194
2050-01-02 14:00:00+00:00,2500.0,0.0,5086.25,524.13981,153.45,21007.823
2050-01-02 15:00:00+00:00,2500.0,8.1054222e-27,5086.25,554.48391,153.45,20496.452
2050-01-02 16:00:00+00:00,2500.0,8.1054222e-27,5086.25,446.35993,153.45,19985.081
2050-01-02 17:00:00+00:00,2500.0,8.1054222e-27,5086.25,476.89599,153.45,19473.709
2050-01-02 18:00:00+00:00,2500.0,8.1054222e-27,5086.25,507.52803,153.45,18962.338
2050-01-02 19:00:00+00:00,2500.0,8.1054222e-27,5086.25,538.25604,153.45,18450.967
2050-01-02 20:00:00+00:00,2500.0,8.1054222e-27,5086.25,569.08003,153.45,17939.596
2050-01-02 21:00:00+00:00,2500.0,8.1054222e-27,5086.25,600.0,153.45,17428.225
2050-01-02 22:00:00+00:00,2500.0,8.1054222e-27,4683.3474,492.45188,153.45,17428.225
2050-01-02 23:00:00+00:00,2081.9959,8.1054222e-27,3867.5348,384.99974,101.46142,17483.847
2050-01-03 00:00:00+00:00,1663.9918,8.1054222e-27,3290.0524,277.64357,101.46142,17898.057
2050-01-03 01:00:00+00:00,1245.9877,8.1054222e-27,2474.2397,170.39793,49.472839,18054.135
2050-01-03 02:00:00+00:00,836.00819,0.0,1709.4409,108.58589,49.472839,18329.029
2050-01-03 03:00:00+00:00,418.0041,0.0,1384.3063,1.5613018,0.0,18743.239
2050-01-03 04:00:00+00:00,0.0,0.0,1359.9558,33.211301,0.0,19157.45
2050-01-03 05:00:00+00:00,0.0,0.0,1359.9558,64.971826,0.0,18646.079
